ssid,bssid,encryption,vendor,longitude,latitude
WG,58:6d:8f:b4:59:fb,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,"Cisco-Linksys, LLC",8.65485771343755,49.8689013754572
eduroam,b0:00:b4:a4:8d:5c,[WPA2-EAP-CCMP][ESS],"Cisco Systems, Inc",8.65699233543585,49.8761837032678
Tentacle Sensei,5c:d9:98:e5:11:f4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,D-Link Corporation,8.64731354218809,49.8621791986406
Das Labor,58:23:8c:04:37:a4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][,Technicolor CH USA Inc.,8.66254780651869,49.8664682540329
eduroam,00:0b:0e:e8:02:41,"",Trapeze Networks,8.6398476,49.8658241
WDlink,00:24:01:29:0f:eb,"",D-Link Corporation,8.6624192,49.8693794
Zentrum des Wissen,c4:6e:1f:50:25:e5,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.6655194,49.8817277
EasyBox-D57638,74:31:70:d5:76:28,"",Arcadyan Technology Corporation,8.6245224,49.8717616
Garykatze,00:1d:19:50:7d:68,"",Arcadyan Technology Corporation,8.6696081,49.868892
Osiris,08:96:d7:8b:69:39,WPA2-PSK-CCMP,AVM GmbH,8.663625,49.880724
TUDWeb,b0:aa:77:f5:18:82,"","Cisco Systems, Inc",8.6574098,49.8758113
WG 213-2,60:e3:27:76:c9:5e,"","TP-LINK TECHNOLOGIES CO.,LTD.",8.634798,49.8695693
FRITZ!Box Fon WLAN 7170,00:1f:3f:1b:49:de,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],AVM GmbH,8.66222274204455,49.8664758021817
GrueneDarmstadt,d4:21:22:c0:9e:43,[WPA2-PSK-CCMP][WPS][ESS],Sercomm Corporation,8.66046127147822,49.8780024555463
TP-LINK_41FDFE,c4:6e:1f:41:fd:fe,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],"TP-LINK TECHNOLOGIES CO.,LTD.",8.6466625596481,49.8656194529544
FRITZ!Box 7362 SL,34:31:c4:15:2d:09,"",AVM GmbH,8.638483,49.8765659
